,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
1082,Grant County,Kansas,86996,40794,40190,6012
1083,Grant County,Kentucky,304070,147234,146458,10378
1084,Grant County,Minnesota,73410,36040,34482,2888
1085,Grant County,Nebraska,7074,3658,3272,144
1086,Grant County,New Mexico,334142,153436,155690,25016
1087,Grant County,North Dakota,27294,13188,12766,1340
1088,Grant County,Oklahoma,49638,22514,22522,4602
1089,Grant County,Oregon,86544,40940,40050,5554
1090,Grant County,South Dakota,90758,45132,41652,3974
1091,Grant County,Washington,1216240,563704,540446,112090
1092,Grant County,West Virginia,131788,64542,63482,3764
1093,Grant County,Wisconsin,621574,307046,290374,24154
1094,Grant Parish,Louisiana,265306,114532,98592,52182
1095,Granville County,North Carolina,730780,240238,233526,257016
1096,Gratiot County,Michigan,497378,232196,219674,45508
1097,Graves County,Kentucky,439606,198936,204362,36308
1098,Gray County,Kansas,68302,33076,31792,3434
1099,Gray County,Texas,252904,119234,107446,26224
1100,Grays Harbor County,Washington,921808,405862,391108,124838
1101,Grayson County,Kentucky,319908,155988,153104,10816
1102,Grayson County,Texas,1704552,728566,757880,218106
1103,Grayson County,Virginia,183536,85052,83034,15450
1104,Greater Bridgeport Planning Region,Connecticut,3944142,1496472,1528050,919620
1105,Greeley County,Kansas,14794,7224,7106,464
1106,Greeley County,Nebraska,26400,13200,12644,556
1107,Green County,Kentucky,135906,64546,65084,6276
1108,Green County,Wisconsin,444334,217286,212842,14206
1109,Green Lake County,Wisconsin,230682,112350,109674,8658
1110,Greenbrier County,West Virginia,389826,179540,187520,22766
1111,Greene County,Alabama,89708,7864,8398,73446
1112,Greene County,Arkansas,555788,258924,266496,30368
1113,Greene County,Georgia,238920,77332,78828,82760
1114,Greene County,Illinois,140802,68854,68794,3154
1115,Greene County,Indiana,371826,182512,179992,9322
1116,Greene County,Iowa,104408,50288,50356,3764
1117,Greene County,Mississippi,163212,63566,54770,44876
1118,Greene County,Missouri,3631572,1591926,1669934,369712
1119,Greene County,New York,569956,258880,255926,55150
1120,Greene County,North Carolina,245756,78934,62534,104288
1121,Greene County,Ohio,2032814,867612,874220,290982
1122,Greene County,Pennsylvania,420234,201594,194452,24188
1123,Greene County,Tennessee,856604,401022,411996,43586
1124,Greene County,Virginia,252660,107204,110880,34576
1125,Greenlee County,Arizona,113218,52756,48266,12196
1126,Greensville County,Virginia,135552,31138,19304,85110
1127,Greenup County,Kentucky,426950,201696,211530,13724
1128,Greenville County,South Carolina,6532744,2444496,2535612,1552636
1129,Greenwood County,Kansas,71216,34320,32776,4120
1130,Greenwood County,South Carolina,833596,257432,278660,297504
1131,Greer County,Oklahoma,65876,29526,24960,11390
1132,Gregg County,Texas,1503402,548524,564328,390550
1133,Gregory County,South Dakota,48142,21606,20640,5896
1134,Grenada County,Mississippi,255428,67760,70674,116994
1135,Griggs County,North Dakota,27292,13546,13222,524
1136,Grimes County,Texas,371996,163526,141934,66536
1137,Grundy County,Illinois,637296,303360,300412,33524
1138,Grundy County,Iowa,148516,72442,72246,3828
1139,Grundy County,Missouri,117456,55388,56612,5456
1140,Grundy County,Tennessee,165258,79312,79314,6632
1141,Guadalupe County,New Mexico,52726,26962,20206,5558
1142,Guadalupe County,Texas,2181846,915952,922266,343628
1143,Guernsey County,Ohio,459100,217880,219568,21652
1144,Guilford County,North Carolina,6561888,1737108,1851708,2973072
1145,Gulf County,Florida,179702,77828,70116,31758
1146,Gunnison County,Colorado,206248,103740,88570,13938
1147,Guthrie County,Iowa,128136,62238,61758,4140
1148,Gwinnett County,Georgia,11713224,3048398,3003036,5661790
1149,Haakon County,South Dakota,22196,10286,10342,1568
1150,Habersham County,Georgia,569992,245966,265802,58224
1152,Hale County,Alabama,177868,35744,36134,105990
1153,Hale County,Texas,386358,179210,168418,38730
1154,Halifax County,North Carolina,573992,112298,116354,345340
1155,Halifax County,Virginia,404432,121024,127346,156062
1156,Hall County,Georgia,2532698,1088300,1088338,356060
1157,Hall County,Nebraska,751160,340484,332394,78282
1158,Hall County,Texas,33842,14570,14682,4590
1159,Hamblen County,Tennessee,785688,350928,361224,73536
1160,Hamilton County,Florida,164168,57034,47884,59250
1161,Hamilton County,Illinois,95140,45900,46168,3072
1162,Hamilton County,Indiana,4345538,1816270,1880376,648892
1163,Hamilton County,Iowa,178936,84160,83070,11706
1164,Hamilton County,Kansas,29748,14182,13082,2484
1165,Hamilton County,Nebraska,113494,55994,54286,3214
1166,Hamilton County,New York,61078,29632,29014,2432
1167,Hamilton County,Ohio,9969012,3305648,3386842,3276522
1168,Hamilton County,Tennessee,4495590,1677344,1743762,1074484
1169,Hamilton County,Texas,100504,47052,47692,5760
1170,Hamlin County,South Dakota,76050,38316,35122,2612
1171,Hampden County,Massachusetts,5559812,2211390,2331412,1017010
1172,Hampshire County,Massachusetts,1944896,801056,900568,243272
1173,Hampshire County,West Virginia,280804,139082,132272,9450
1174,Hampton County,South Carolina,219670,51720,45568,122382
1175,Hampton city,Virginia,1649878,335666,327104,987108
1176,Hancock County,Georgia,103968,16374,12414,75180
1177,Hancock County,Illinois,208068,100748,100900,6420
1178,Hancock County,Indiana,1000040,456462,464844,78734
1179,Hancock County,Iowa,128298,62832,61444,4022
1180,Hancock County,Kentucky,108536,53338,51562,3636
1181,Hancock County,Maine,675558,315200,328806,31552
1182,Hancock County,Mississippi,553772,237526,246068,70178
1183,Hancock County,Ohio,898484,413448,421894,63142
1184,Hancock County,Tennessee,81838,39422,39976,2440
1185,Hancock County,West Virginia,342510,158494,165162,18854
1186,Hand County,South Dakota,37432,18636,17772,1024
1187,Hanover County,Virginia,1348746,570154,579482,199110
1188,Hansford County,Texas,61732,29822,28568,3342
1189,Hanson County,South Dakota,41640,20588,19466,1586
1190,Haralson County,Georgia,372686,168430,173954,30302
1191,Hardee County,Florida,307410,142628,124514,40268
1192,Hardeman County,Tennessee,305230,92174,76018,137038
1193,Hardeman County,Texas,42112,18274,18786,5052
1194,Hardin County,Illinois,43348,21058,20292,1998
1195,Hardin County,Iowa,200140,95226,95432,9482
1196,Hardin County,Kentucky,1340822,535838,539164,265820
1197,Hardin County,Ohio,366114,175128,174760,16226
1198,Hardin County,Tennessee,326442,149344,156292,20806
1199,Hardin County,Texas,688898,309248,316530,63120
1200,Harding County,New Mexico,7692,3712,3422,558
1201,Harding County,South Dakota,15822,7626,7184,1012
1202,Hardy County,West Virginia,171024,80756,78978,11290
1203,Harford County,Maryland,3159436,1205832,1237230,716374
1204,Harlan County,Kentucky,311390,143716,155216,12458
1205,Harlan County,Nebraska,36618,18372,17194,1052
1206,Harmon County,Oklahoma,29038,11292,12140,5606
1207,Harnett County,North Carolina,1658612,585682,586692,486238
1208,Harney County,Oregon,89992,41048,40216,8728
1209,Harper County,Kansas,64966,31482,29726,3758
1210,Harper County,Oklahoma,38562,18354,17554,2654
1211,Harris County,Georgia,430196,171098,168060,91038
1212,Harris County,Texas,57845896,19975390,19479148,18391358
1213,Harrison County,Indiana,477888,231684,230100,16104
1214,Harrison County,Iowa,175474,86360,84386,4728
1215,Harrison County,Kentucky,228788,106730,111400,10658
1216,Harrison County,Mississippi,2526168,846960,853546,825662
1217,Harrison County,Missouri,98216,47774,47132,3310
1218,Harrison County,Ohio,172032,81564,82262,8206
1219,Harrison County,Texas,839222,310246,313918,215058
1220,Harrison County,West Virginia,781674,366184,377990,37500
1221,Harrisonburg city,Virginia,617538,240064,261544,115930
1222,Hart County,Georgia,321052,124002,126262,70788
1223,Hart County,Kentucky,234598,108512,110154,15932
1224,Hartley County,Texas,62884,32766,24524,5594
1225,Harvey County,Kansas,405618,187348,190294,27976
1226,Haskell County,Kansas,43976,20922,20568,2486
1227,Haskell County,Oklahoma,139950,50008,50284,39658
1228,Haskell County,Texas,65040,30638,27514,6888
1230,Hawkins County,Tennessee,693088,330120,335234,27734
1231,Hayes County,Nebraska,10188,4992,4814,382
1232,Hays County,Texas,3168522,1399990,1416294,352238
1233,Haywood County,North Carolina,750794,347392,367590,35812
1234,Haywood County,Tennessee,210476,48322,50100,112054
1235,Heard County,Georgia,140554,60448,61082,19024
1236,Hemphill County,Texas,39112,18422,18182,2508
1237,Hempstead County,Arkansas,235212,77272,76540,81400
1238,Henderson County,Illinois,74700,36042,36176,2482
1239,Henderson County,Kentucky,532386,228338,239536,64512
1240,Henderson County,North Carolina,1417448,631526,674882,111040
1241,Henderson County,Tennessee,335484,145112,152464,37908
1242,Henderson County,Texas,1012906,444398,461094,107414
1243,Hendricks County,Indiana,2183026,906132,908782,368112
1244,Hendry County,Florida,503058,231766,183928,87364
1245,Hennepin County,Minnesota,15258080,5551730,5610908,4095442
1246,Henrico County,Virginia,4027362,1101396,1158680,1767286
1247,Henry County,Alabama,210750,74482,77880,58388
1248,Henry County,Georgia,2981014,581162,595922,1803930
1249,Henry County,Illinois,585004,278520,278844,27640
1250,Henry County,Indiana,587532,287780,269166,30586
1251,Henry County,Iowa,241006,114326,108082,18598
1252,Henry County,Kentucky,189910,88654,89696,11560
1253,Henry County,Missouri,267178,125718,128286,13174
1254,Henry County,Ohio,331000,159140,160602,11258
1255,Henry County,Tennessee,388510,169204,177596,41710
1256,Henry County,Virginia,601694,216108,229432,156154
1257,Herkimer County,New York,717846,342460,343576,31810
1258,Hernando County,Florida,2459200,1059764,1121964,277472
1259,Hertford County,North Carolina,242188,45114,42354,154720
1260,Hettinger County,North Dakota,29284,13692,13604,1988
1261,Hickman County,Kentucky,53434,22310,24750,6374
1262,Hickman County,Tennessee,304170,143386,136772,24012
1263,Hickory County,Missouri,102400,48322,49538,4540
1264,Hidalgo County,New Mexico,48764,23170,22556,3038
1265,Hidalgo County,Texas,10661346,5078098,5226388,356860
1266,Highland County,Ohio,521804,246888,252282,22634
1267,Highland County,Virginia,27428,13230,13506,692
1268,Highlands County,Florida,1259482,523756,541440,194286
1269,Hill County,Montana,194136,70512,66282,57342
1270,Hill County,Texas,445014,199242,198856,46916
1271,Hillsborough County,Florida,18147032,6583404,6650010,4913618
1272,Hillsborough County,New Hampshire,5109672,2275092,2278320,556260
1273,Hillsdale County,Michigan,548046,265024,263758,19264
1274,Hinds County,Mississippi,2640806,318294,339290,1983222
1275,Hinsdale County,Colorado,9246,4518,4158,570
1276,Hitchcock County,Nebraska,30918,15242,14738,938
1277,Hocking County,Ohio,334100,161212,161994,10894
1278,Hockley County,Texas,256698,117786,119286,19626
1279,Hodgeman County,Kansas,20488,9664,9194,1630
1280,Hoke County,North Carolina,642512,156414,152724,333374
1281,Holmes County,Florida,234444,106332,101842,26270
1282,Holmes County,Mississippi,195902,15894,14402,165606
1283,Holmes County,Ohio,532620,263988,260214,8418
1284,Holt County,Missouri,50860,24122,24714,2024
1285,Holt County,Nebraska,121274,59500,58062,3712
1287,Hood County,Texas,782128,362468,378514,41146
1288,Hood River County,Oregon,287012,134266,132294,20452
1289,Hooker County,Nebraska,8416,3988,4254,174
1291,Hopewell city,Virginia,275652,63838,68938,142876
1292,Hopkins County,Kentucky,542022,237030,247568,57424
1293,Hopkins County,Texas,451420,196320,202404,52696
1294,Horry County,South Carolina,4532236,1824518,1938746,768972
1295,Hot Spring County,Arkansas,397878,177128,161640,59110
1296,Hot Springs County,Wyoming,55438,25998,26064,3376
1297,Houghton County,Michigan,451674,230626,192432,28616
1298,Houston County,Alabama,1295820,431170,451802,412848
1299,Houston County,Georgia,2023772,588352,593700,841720
1300,Houston County,Minnesota,224160,109064,106660,8436
1301,Houston County,Tennessee,100094,45758,47380,6956
1302,Houston County,Texas,264668,101604,90056,73008
1303,Howard County,Arkansas,151406,55470,56774,39162
1304,Howard County,Indiana,1004826,422746,448312,133768
1305,Howard County,Iowa,113396,55324,54462,3610
1306,Howard County,Maryland,4027904,1093688,1082792,1851424
1307,Howard County,Missouri,121780,55866,55044,10870
1308,Howard County,Nebraska,78282,38674,37194,2414
1309,Howard County,Texas,392618,189796,156342,46480
1310,Howell County,Missouri,483334,226700,235452,21182
1311,Hubbard County,Minnesota,260992,124456,120156,16380
1312,Hudson County,New Jersey,8632942,2718118,2679910,3234914
1313,Hudspeth County,Texas,40436,22408,12166,5862
1314,Huerfano County,Colorado,83346,37588,35886,9872
1315,Hughes County,Oklahoma,160622,56414,48116,56092
1316,Hughes County,South Dakota,212180,87538,88220,36422
1317,Humboldt County,California,1618342,662868,672678,282796
1318,Humboldt County,Iowa,115100,55204,55968,3928
1319,Humboldt County,Nevada,207454,96894,88576,21984
1320,Humphreys County,Mississippi,89524,9326,9554,70644
1321,Humphreys County,Tennessee,230106,108254,106928,14924
1322,Hunt County,Texas,1289620,549442,555598,184580
1323,Hunterdon County,New Jersey,1559512,694238,709304,155970
1324,Huntingdon County,Pennsylvania,524744,246730,235000,43014
1325,Huntington County,Indiana,441314,211426,213910,15978
1326,Huron County,Michigan,373936,182182,181178,10576
1327,Huron County,Ohio,700322,334140,337080,29102
1328,Hutchinson County,South Dakota,88886,42320,42550,4016
1329,Hutchinson County,Texas,243078,112852,109594,20632
1330,Hyde County,North Carolina,55094,19382,17954,17758
1331,Hyde County,South Dakota,14696,6374,6218,2104
1332,Iberia Parish,Louisiana,826564,253022,255994,317548
1333,Iberville Parish,Louisiana,358638,93118,88928,176592
1334,Ida County,Iowa,83128,40394,40034,2700
1335,Idaho County,Idaho,207406,101874,91306,14226
1336,Imperial County,California,2161444,986128,959254,216062
1337,Independence County,Arkansas,457618,209878,216178,31562
1338,Indian River County,Florida,1988936,833242,888974,266720
1339,Indiana County,Pennsylvania,996888,468536,473270,55082
1340,Ingham County,Michigan,3409594,1247662,1314978,846954
1341,Inyo County,California,225442,90828,87684,46930
1342,Ionia County,Michigan,799352,381274,344722,73356
1343,Iosco County,Michigan,303926,144494,144526,14906
1344,Iowa County,Iowa,198392,97602,94960,5830
1345,Iowa County,Wisconsin,286104,139886,135328,10890
1346,Iredell County,North Carolina,2338814,950378,957996,430440
1347,Irion County,Texas,18390,8610,8686,1094
1348,Iron County,Michigan,139902,67096,66400,6406
1349,Iron County,Missouri,113528,53982,54146,5400
1350,Iron County,Utah,737080,343576,341136,52368
1351,Iron County,Wisconsin,74360,36002,35266,3092
1352,Iroquois County,Illinois,318614,150764,155218,12632
1353,Irwin County,Georgia,112182,40516,39830,31836
1354,Isabella County,Michigan,774454,332658,347848,93948
1355,Isanti County,Minnesota,508220,242868,234574,30778
1356,Island County,Washington,1042076,444080,437836,160160
1357,Isle of Wight County,Virginia,476960,172786,172652,131522
1358,Issaquena County,Mississippi,15674,3584,2200,9890
1359,Itasca County,Minnesota,542792,255694,247366,39732
1360,Itawamba County,Mississippi,288084,127974,131488,28622
1361,Izard County,Arkansas,167252,82616,75572,9064
1362,Jack County,Texas,105764,53556,44096,8112
1363,Jackson County,Alabama,635656,286090,293926,55640
1364,Jackson County,Arkansas,200640,78904,78448,43288
1365,Jackson County,Colorado,16038,8106,7136,796
1366,Jackson County,Florida,577130,212498,190098,174534
1367,Jackson County,Georgia,999404,427858,434678,136868
1368,Jackson County,Illinois,637316,247966,242102,147248
1369,Jackson County,Indiana,559472,260996,257692,40784
1370,Jackson County,Iowa,232860,112996,110646,9218
1371,Jackson County,Kansas,159868,69446,67604,22818
1372,Jackson County,Kentucky,156778,77048,76762,2968
1373,Jackson County,Michigan,1921314,846854,828224,246236
1374,Jackson County,Minnesota,119302,57874,54774,6654
1375,Jackson County,Mississippi,1738982,632618,638962,467402
1376,Jackson County,Missouri,8634188,2977532,3070178,2586478
1377,Jackson County,North Carolina,523930,218792,226078,79060
1378,Jackson County,Ohio,391802,187260,190832,13710
1379,Jackson County,Oklahoma,296364,122350,122864,51150
1380,Jackson County,Oregon,2672978,1195008,1245036,232934
1381,Jackson County,South Dakota,33640,6856,6206,20578
1382,Jackson County,Tennessee,143516,70242,68174,5100
1383,Jackson County,Texas,181498,80904,80862,19732
1384,Jackson County,West Virginia,332636,162120,161986,8530
1385,Jackson County,Wisconsin,252082,118774,104654,28654
1386,Jackson Parish,Louisiana,178902,64222,61452,53228
1387,James City County,Virginia,966634,370984,393922,201728
1388,Jasper County,Georgia,188486,74206,75266,39014
1389,Jasper County,Illinois,110396,54774,53254,2368
1390,Jasper County,Indiana,398162,193226,193098,11838
1391,Jasper County,Iowa,455160,221698,210708,22754
1392,Jasper County,Mississippi,193328,43848,43950,105530
1393,Jasper County,Missouri,1489070,655770,685752,147548
1394,Jasper County,South Carolina,379270,117334,113334,148602
1395,Jasper County,Texas,393226,157866,159200,76160
1396,Jay County,Indiana,243242,119448,117006,6788
1397,Jeff Davis County,Georgia,178802,72282,72154,34366
1398,Jeff Davis County,Texas,22958,10516,10652,1790
1399,Jefferson County,Alabama,8026172,2078512,2174680,3772980
1400,Jefferson County,Arkansas,782538,159264,148038,475236
1401,Jefferson County,Colorado,6959656,3182424,3146732,630500
1402,Jefferson County,Florida,179938,61694,55854,62390
1403,Jefferson County,Georgia,184826,42264,41570,100992
1404,Jefferson County,Idaho,393318,192886,183430,17002
1405,Jefferson County,Illinois,439730,194722,189946,55062
1406,Jefferson County,Indiana,396266,182454,193238,20574
1407,Jefferson County,Iowa,188382,82298,81210,24874
1408,Jefferson County,Kansas,220210,107010,102934,10266
1409,Jefferson County,Kentucky,9396196,3256930,3369330,2769936
1410,Jefferson County,Mississippi,85196,6410,5318,73468
1411,Jefferson County,Missouri,2747714,1312830,1311578,123306
1412,Jefferson County,Montana,151900,72950,69806,9144
1413,Jefferson County,Nebraska,86088,41194,41836,3058
1414,Jefferson County,New York,1383828,625428,583478,174922
1415,Jefferson County,Ohio,775684,345564,360010,70110
1416,Jefferson County,Oklahoma,64490,27026,27426,10038
1417,Jefferson County,Oregon,301032,119780,108772,72480
1418,Jefferson County,Pennsylvania,527618,259356,256632,11630
1419,Jefferson County,Tennessee,678002,317388,326798,33816
1420,Jefferson County,Texas,3051868,939638,849000,1263230
1421,Jefferson County,Washington,401710,178342,186880,36488
1422,Jefferson County,West Virginia,708006,310324,312376,85306
1423,Jefferson County,Wisconsin,1032354,495842,491264,45248
1424,Jefferson Davis County,Mississippi,133824,25272,26276,82276
1425,Jefferson Davis Parish,Louisiana,383738,150582,154760,78396
1426,Jefferson Parish,Louisiana,5190772,1655054,1693228,1842490
1427,Jenkins County,Georgia,104464,29894,26512,48058
1428,Jennings County,Indiana,330830,161394,158598,10838
1429,Jerauld County,South Dakota,19850,9614,9352,884
1430,Jerome County,Idaho,300208,145976,137776,16456
1431,Jersey County,Illinois,255770,121724,124570,9476
1432,Jessamine County,Kentucky,651848,289382,303048,59418
1433,Jewell County,Kansas,35026,17668,16356,1002
1434,Jim Hogg County,Texas,56942,28108,26562,2272
1435,Jim Wells County,Texas,466300,222262,224830,19208
1436,Jo Daviess County,Illinois,262672,127690,126534,8448
1437,Johnson County,Arkansas,311532,139788,141378,30366
1438,Johnson County,Georgia,110272,38780,30636,40856
1439,Johnson County,Illinois,160372,73126,63196,24050
1440,Johnson County,Indiana,1986706,870674,891332,224700
1441,Johnson County,Iowa,1872100,760326,775002,336772
1442,Johnson County,Kansas,7426028,3150472,3236058,1039498
1443,Johnson County,Kentucky,268694,129934,132448,6312
1444,Johnson County,Missouri,655340,298296,286256,70788
1445,Johnson County,Nebraska,63190,31800,24162,7228
1446,Johnson County,Tennessee,217866,110094,97716,10056
1447,Johnson County,Texas,2315958,1036796,1031404,247758
1448,Johnson County,Wyoming,103760,50114,48124,5522
1449,Johnston County,North Carolina,2774634,1053940,1074316,646378
1450,Johnston County,Oklahoma,123336,43806,43886,35644
1451,Jones County,Georgia,343430,119812,125518,98100
1452,Jones County,Iowa,250244,123902,114210,12132
1453,Jones County,Mississippi,799226,270800,274482,253944
1454,Jones County,North Carolina,111358,37314,37230,36814
1455,Jones County,South Dakota,10644,4898,4600,1146
1456,Jones County,Texas,242354,118492,80488,43374
1457,Josephine County,Oregon,1057956,475120,500606,82230
1458,Juab County,Utah,149424,73582,69006,6836
1459,Judith Basin County,Montana,24750,12480,11620,650
1461,Juneau County,Wisconsin,320326,157866,142002,20458
1462,Juniata County,Pennsylvania,280798,136854,134468,9476
1463,Kalamazoo County,Michigan,3147118,1246656,1291428,609034
1465,Kalkaska County,Michigan,218260,105812,101922,10526
1466,Kanabec County,Minnesota,195962,94374,92422,9166
1467,Kanawha County,West Virginia,2126814,907810,974066,244938
1468,Kandiyohi County,Minnesota,528240,238944,236394,52902
1469,Kane County,Illinois,6205994,2677180,2658502,870312
1470,Kane County,Utah,97018,45562,45784,5672
1471,Kankakee County,Illinois,1281648,515270,521512,244866
1472,Karnes County,Texas,179224,87086,67162,24976
1474,Kaufman County,Texas,2016698,757244,762314,497140
1475,Kay County,Oklahoma,523654,204602,206536,112516
1476,Kearney County,Nebraska,80502,39166,39074,2262
1477,Kearny County,Kansas,46600,21946,21426,3228
1478,Keith County,Nebraska,98848,47672,46708,4468
1479,Kemper County,Mississippi,105264,18076,17340,69848
1481,Kendall County,Illinois,1640478,688364,688332,263782
1482,Kendall County,Texas,574272,265602,271980,36690
1483,Kenedy County,Texas,4162,1918,1776,468
1484,Kennebec County,Maine,1517102,707026,739302,70774
1485,Kenosha County,Wisconsin,2022682,870694,879744,272244
1486,Kent County,Delaware,2239724,692330,729080,818314
1487,Kent County,Maryland,231856,90998,97688,43170
1488,Kent County,Michigan,7947456,3215412,3263066,1468978
1489,Kent County,Rhode Island,2055294,904542,958336,192416
1490,Kent County,Texas,8848,4154,4136,558
1491,Kenton County,Kentucky,2050958,919806,935930,195222
1492,Keokuk County,Iowa,119308,58978,57034,3296
1493,Kern County,California,10969214,4562004,4388182,2019028
1494,Kerr County,Texas,640084,287632,309994,42458
1495,Kershaw County,South Carolina,813968,283862,295386,234720
1497,Kewaunee County,Wisconsin,247774,122532,116968,8274
1498,Keweenaw County,Michigan,25412,12584,12102,726
1499,Keya Paha County,Nebraska,9500,4794,4436,270
1500,Kidder County,North Dakota,28564,14584,12964,1016
1501,Kimball County,Nebraska,40432,18686,18586,3160
1502,Kimble County,Texas,52454,24390,25588,2476
1503,King County,Texas,2898,1394,1304,200
1504,King County,Washington,27411038,8922668,8543252,9945118
1505,King George County,Virginia,332408,130848,125500,76060
1506,King William County,Virginia,221558,87588,87992,45978
1507,King and Queen County,Virginia,80164,28498,26980,24686
1508,Kingfisher County,Oklahoma,184682,83204,81792,19686
1509,Kingman County,Kansas,86794,42152,41146,3496
1510,Kings County,California,1837950,811698,675564,350688
1511,Kings County,New York,31788388,7815542,8034582,15938264
1512,Kingsbury County,South Dakota,62818,30930,29474,2414
1513,Kinney County,Texas,37828,19838,14508,3482
1514,Kiowa County,Colorado,17092,7978,8248,866
1515,Kiowa County,Kansas,29138,13328,13658,2152
1516,Kiowa County,Oklahoma,100840,40726,41174,18940
1517,Kit Carson County,Colorado,84388,40230,39196,4962
1518,Kitsap County,Washington,3330050,1402196,1318812,609042
1519,Kittitas County,Washington,564792,260306,255266,49220
1520,Kittson County,Minnesota,49262,23932,23404,1926
1521,Klamath County,Oregon,841294,371534,368498,101262
1522,Kleberg County,Texas,367870,166334,164624,36912
1523,Klickitat County,Washington,279584,132460,126212,20912
1524,Knott County,Kentucky,166798,80580,82194,4024
1525,Knox County,Illinois,590402,253620,257990,78792
1526,Knox County,Indiana,432640,204620,200630,27390
1527,Knox County,Kentucky,359046,170378,175978,12690
1528,Knox County,Maine,491256,235338,237902,18016
1529,Knox County,Missouri,45040,21990,21300,1750
1530,Knox County,Nebraska,100420,43242,43710,13468
1531,Knox County,Ohio,756836,361252,368666,26918
1532,Knox County,Tennessee,5899400,2471954,2572002,855444
1533,Knox County,Texas,39788,17424,17642,4722
1535,Koochiching County,Minnesota,142464,67852,65530,9082
1536,Kootenai County,Idaho,2162684,1015790,1020198,126696
1537,Kosciusko County,Indiana,964924,457222,460304,47398
1538,Kossuth County,Iowa,174798,85338,83086,6374
1540,La Crosse County,Wisconsin,1446480,640474,669368,136638
1541,La Paz County,Arizona,199748,78824,72626,48298
1542,La Plata County,Colorado,674584,302632,292014,79938
1543,La Salle County,Texas,79698,44594,30204,4900
1544,LaGrange County,Indiana,488938,244198,234472,10268
1545,LaMoure County,North Dakota,48832,24768,22836,1228
1546,LaPorte County,Indiana,1344006,578670,557526,207810
1547,LaSalle County,Illinois,1306436,618094,611324,77018
1548,LaSalle Parish,Louisiana,177492,78824,69830,28838
1549,Labette County,Kansas,239044,105462,105964,27618
1550,Lac qui Parle County,Minnesota,80260,39330,37760,3170
1551,Lackawanna County,Pennsylvania,2593280,1126970,1183570,282740
1552,Laclede County,Missouri,435978,205416,208250,22312
1553,Lafayette County,Arkansas,73976,23030,22558,28388
1554,Lafayette County,Florida,98066,43412,38476,16178
1555,Lafayette County,Mississippi,694902,246182,255116,193604
1556,Lafayette County,Missouri,397108,185544,187042,24522
1557,Lafayette County,Wisconsin,202616,100124,95968,6524
1558,Lafayette Parish,Louisiana,2963484,1001742,1028050,933692
1559,Lafourche Parish,Louisiana,1157620,458364,464346,234910
1560,Lake County,California,817848,352496,353812,111540
1561,Lake County,Colorado,88682,43876,37766,7040
1562,Lake County,Florida,4897166,1960472,2055552,881142
1563,Lake County,Illinois,8571050,3460838,3385912,1724300
1564,Lake County,Indiana,6001176,2116920,2133214,1751042
1565,Lake County,Michigan,149832,67542,58188,24102
1566,Lake County,Minnesota,130596,64674,61002,4920
1567,Lake County,Montana,387876,131540,133084,123252
1568,Lake County,Ohio,2787204,1245790,1281794,259620
1569,Lake County,Oregon,98996,48156,41792,9048
1570,Lake County,South Dakota,131852,64910,58646,8296
1571,Lake County,Tennessee,79788,32206,22884,24698
1573,Lake of the Woods County,Minnesota,45746,22686,20130,2930
1574,Lamar County,Alabama,164874,71384,72582,20908
1575,Lamar County,Georgia,232714,79030,81478,72206
1576,Lamar County,Mississippi,785568,285238,298378,201952
1577,Lamar County,Texas,606860,237514,249328,120018
1578,Lamb County,Texas,154366,70002,69702,14662
1579,Lamoille County,Vermont,313368,151030,149004,13334
1580,Lampasas County,Texas,270404,119364,120586,30454
1581,Lancaster County,Nebraska,3912178,1689392,1681512,541274
1582,Lancaster County,Pennsylvania,6685274,2913278,3028228,743768
1583,Lancaster County,South Carolina,1236774,449360,470504,316910
1584,Lancaster County,Virginia,131200,43016,48016,40168
1585,Lander County,Nevada,69166,31820,29468,7878
1586,Lane County,Kansas,18552,8654,8740,1158
1587,Lane County,Oregon,4608022,2013406,2067012,527604
1588,Langlade County,Wisconsin,233886,112050,109210,12626
1589,Lanier County,Georgia,121972,43580,43640,34752
1590,Lapeer County,Michigan,1065610,520032,500162,45416
1591,Laramie County,Wyoming,1211616,562498,546336,102782
1592,Larimer County,Colorado,4391806,2016464,2020366,354976
1593,Larue County,Kentucky,180796,84500,85804,10492
1594,Las Animas County,Colorado,173256,79904,75084,18268
1595,Lassen County,California,369030,178158,120474,70398
1596,Latah County,Idaho,489532,231344,220010,38178
1597,Latimer County,Oklahoma,114080,36724,36048,41308
1598,Lauderdale County,Alabama,1145418,477266,511026,157126
1599,Lauderdale County,Mississippi,860996,225912,227246,407838
1600,Lauderdale County,Tennessee,298124,93394,89270,115460
1601,Laurel County,Kentucky,755054,360376,369622,25056
1602,Laurens County,Georgia,597130,172780,180774,243576
1603,Laurens County,South Carolina,821712,291374,301434,228904
1604,Lavaca County,Texas,246196,109980,113102,23114
1605,Lawrence County,Alabama,398878,154652,158904,85322
1606,Lawrence County,Arkansas,194814,92230,94386,8198
1607,Lawrence County,Illinois,180920,81402,76888,22630
1608,Lawrence County,Indiana,541032,261662,261756,17614
1609,Lawrence County,Kentucky,193348,94204,94122,5022
1610,Lawrence County,Mississippi,141890,46180,46614,49096
1611,Lawrence County,Missouri,461934,219792,218010,24132
1612,Lawrence County,Ohio,684652,318390,333074,33188
